"","spp","FEATUREID","HUC8","StreamOrde","Pathlength","ArbolateSu","AreaSqKM_1","TotDASqKM","Q0001E","V0001E","Qincr0001E","TEMP0001","PPT0001","PET0001","QLOSS0001","Q0001E_01","Q0001E_02","Q0001E_03","Q0001E_04","Q0001E_05","Q0001E_06","Q0001E_07","Q0001E_08","Q0001E_09","Q0001E_10","Q0001E_11","Q0001E_12","RunOffV","MinMonthly","NLCD11P","NLCD21P","NLCD22P","NLCDUrbanP","NLCDForestP","NLCD52P","NLCD71P","NLCD81P","NLCD82P","NLCD95P","NLCD11PC","NLCD21PC","NLCD22PC","NLCDUrbanPC","NLCDForestPC","NLCD52PC","NLCD71PC","NLCD81PC","NLCD82PC","NLCD95PC","slope_MEAN","road_density_MEAN","tfactor_MEAN","water_table_MEAN","erodability_MEAN","VALUE_11","VALUE_21","VALUE_22","VALUE_23_24","VALUE_FOREST","VALUE_52","VALUE_71","VALUE_81","VALUE_82","VALUE_95","PctRipForest","PctRipWetland","cold","cool","warm","Crossings","AnimalOpsCount","NPDESCount"
"11","greenhead.shiner",9747396,3050102,2,500.458,23.547,22.8798,81.3888,35.315,1.05642,6.78832,15.1845,1201.66,811.02686,0,55.906,58.414,63.585,43.519,35.276,25.413,17.051,18.58,15.514,28.177,28.26,35.288,387.799,5.982649,0.05507,14.979152,8.366769,1.793722,43.828181,0.845724,4.956337,24.278184,0.896861,0,0.525256,9.33298,3.771895,0.869161,44.806043,1.207537,5.511323,33.300159,0.624779,0.036491,3.057042467,7.912725154,4.471425731,41.46431227,0.295104011,0,1800,900,0,163800,900,9000,71100,1800,0,0.526706231,0.084569733,0,0,100,3,0,0
"12","greenhead.shiner",9750374,3050101,3,680.996,52.966,1.6956,48.7197,32.748,1.15029,0.83505,13.53637,1175.25,735.61706,0,36.827,43.232,51.572,45.923,35.015,28.044,20.679,19.31,31.511,49.305,53.207,32.917,416.289,5,0.955414,4.564756,0,0,80.14862,4.989384,1.910828,7.059448,0,0,0.033251,4.05298,0.325125,0.1367,92.620029,0.546801,0.243844,2.013559,0,0,13.41589425,3.618293108,3.378845116,85.45,0.242239614,6300,5400,0,0,37800,0,9000,11700,0,0,0.496042216,0,100,0,0,0,0,0
"13","greenhead.shiner",9750376,3050101,3,680.996,38.763,2.3994,38.9601,30.616,1.16508,0.3515,13.37872,1166.16,728.17419,0,30.131,35.794,45.1,40.59,32.892,28.888,21.772,23.262,39.818,58.266,52.595,30.919,434.96,5.615149,0,4.876219,0,0,71.680421,2.738185,0.937734,19.579895,0,0,0,4.301324,0.039271,0,92.249763,0.993324,0.194045,2.210723,0,0,12.36636894,3.510687875,3.902934537,89.95544554,0.248106177,0,19800,3600,0,49500,3600,1800,17100,0,0,0.471042471,0.023166023,100,0,0,2,0,0
"14","greenhead.shiner",9751648,3050101,3,662.153,93.696,3.2256,85.5423,50.947,1.13448,0.71155,14.22108,1265.37,768.16128,0,63.397,70.514,82.002,72.317,55.907,41.065,30.021,28.054,31.173,51.568,73.145,56.087,473.457,6.470699,0,4.045759,0,0,77.008928,3.264509,4.38058,11.300223,0,0,0,1.871706,0.089429,0.213579,91.875598,1.012131,0.593391,4.209496,0.088377,0,7.796086595,3.56386979,4.998325893,58.67109635,0.313805806,0,2700,1800,0,46800,1800,2700,33300,0,0,0.461215933,0,100,0,0,1,0,0
"15","greenhead.shiner",9751770,3050101,2,594.251,19.042,6.0597,32.0337,19.042,0.84739,3.52809,14.33322,1278.24,775.58154,0,22.841,25.288,30.429,28.607,22.193,18.073,12.362,11.013,13.112,12.836,28.592,22.492,474.185,6,0.13367,13.753156,3.34175,0.816872,22.813011,3.237784,2.628843,53.200653,0.074261,0,0.06181,10.207063,1.812154,1.41039,37.341613,3.784452,3.663642,41.362066,0.289383,0,3.090401167,7.771740842,4.824485535,58.40210843,0.287486954,0,3600,1800,0,11700,10800,0,64800,0,0,0.121272366,0,0,0,100,2,2,0
"16","greenhead.shiner",9751776,3050101,3,595.155,98.668,4.4199,114.3594,66.502,1.08666,0.41685,14.33616,1279.17,775.61486,0,80.186,87.005,103.441,95.7,75.735,62.386,44.868,40.741,40.993,48.984,56.987,64.203,477.068,6.04113,0,5.334962,0,0.325799,32.518836,5.905111,3.013643,52.046426,0.855223,0,0.032267,4.549604,0.355721,0.221931,68.166149,3.221161,2.827664,20.345332,0.217997,0,3.328775608,5.032978297,5.002037905,59.47887324,0.282262992,0,900,0,0,79200,18900,5400,23400,0,0,0.473997028,0,0,0,100,1,0,0
"17","greenhead.shiner",9751820,3050101,3,604.897,25.509,0.6795,37.5669,24.608,1.00675,0.43483,14.22154,1288.77,768.73562,0,30.893,34.457,38.541,33.444,26.253,19.052,13.686,12.324,15.435,33.022,40.603,29.237,494.931,6.728479,0,7.417219,1.721854,0,31.125828,1.456954,0,58.278146,0,0,0,2.800604,0.265926,0.011979,82.288398,2.676026,1.372751,10.483697,0,0,4.933980871,7.912680664,4.719205298,99.99415205,0.284940392,0,2700,2700,0,5400,900,0,26100,0,0,0.212121212,0,0,0,100,1,0,0
"18","greenhead.shiner",9751944,3050101,3,614.375,29.839,0.6417,29.3463,18.757,0.98323,-0.14571,14.19423,1290.03,766.60799,0,24.075,27.176,30.036,25.306,19.596,13.67,10.206,9.217,11.304,22.879,32.337,22.787,498.195,7.6676,0,7.152875,0,0,55.399719,2.524544,9.396914,25.525947,0,0,0.027601,8.363235,0.303616,0.036802,69.991106,3.686325,5.268807,12.322507,0,0,3.607559464,7.607894174,5,99,0.338302939,0,1800,0,0,21600,0,3600,1800,0,0,0.590277778,0,0,0,100,1,0,0
"19","greenhead.shiner",9752022,3050101,2,601.246,38.772,14.8923,42.2262,26.962,1.10421,8.5897,14.14624,1284.69,764.31249,0,34.478,38.563,42.849,36.565,28.414,20.463,14.886,13.475,16.742,32.589,43.067,32.056,495.166,7.75742,0,4.961624,0.290083,0.151085,69.680305,5.118753,4.212244,15.585907,0,0,0.021314,3.501854,0.140671,0.053285,76.286287,4.486551,2.992455,12.48135,0.036233,0,6.808156678,4.118466473,4.055297033,54.50035088,0.263601523,0,9000,900,0,381600,18900,16200,18000,0,0,0.744,0,0,0,100,2,0,0
"20","greenhead.shiner",9752100,3050101,2,702.233,27.436,0.4194,32.4135,25.381,1.18237,0.31368,13.12922,1230.64,709.62318,0,27.883,31.866,38.976,32.103,28.191,20.463,14.549,14.559,28.316,43.43,46.613,28.422,492.775,6.278969,0,26.39485,7.939914,4.935622,44.206008,0.214592,0,16.309013,0,0,0,6.488963,0.177704,0.083299,90.206858,0.324865,0.488685,2.229627,0,0,6.053234054,10.33988946,4.993562232,108.25,0.244377685,0,8100,6300,2700,7200,0,0,0,0,0,0.256198347,0,100,0,0,1,0,0
"21","greenhead.shiner",9752140,3050101,3,606.017,63.174,2.4219,67.1652,40.334,0.98762,1.32634,14.31425,1275.08,773.42598,0,53.175,59.557,65.895,55.365,42.136,30.384,22.311,20.597,22.932,35.261,58.007,47.392,479.724,6,0,5.945745,1.300632,0,47.900409,2.341137,4.236343,38.275734,0,0,0.01206,7.556145,0.285416,0.02412,67.849869,4.380393,4.59613,15.218149,0.02278,0,3.27193668,5.675323998,5.017930519,51.1409396,0.307225537,0,900,0,0,65700,0,6300,2700,0,0,0.708229426,0.004987531,0,0,100,1,0,0
"22","greenhead.shiner",9752430,3050101,2,644.782,29.301,3.474,26.1891,16.145,0.96653,2.18199,14.5839,1284.92,787.08063,0,20.64,23.406,27.309,22.057,17.825,12.156,8.983,7.953,10.93,14.845,26.838,18.703,478.852,6,0,6.683938,0.207254,0,71.088082,5.544041,1.19171,15.284974,0,0,0,3.714904,0.048112,0,86.539056,3.72865,0.487989,5.41943,0,0,6.182294752,2.905875222,4.966062176,127.8761194,0.261038859,0,6300,0,0,19800,1800,3600,89100,0,0,0.220472441,0.017322835,100,0,0,1,0,0
"23","greenhead.shiner",9752678,3050101,1,676.619,4.975,5.2767,5.2767,3.111,0.95411,3.11071,13.78752,1300.33,743.49439,0,5.271,5.493,6.124,4.624,3.935,1.974,1.164,0.79,0.586,4.046,8.762,4.665,526.449,8.260959,0.324066,2.711922,0,0,81.170049,7.453522,7.948149,0.392291,0,0,0.324066,2.711922,0,0,81.170049,7.453522,7.948149,0.392291,0,0,8.448436459,2.533820584,4.229583975,153,0.281788464,6300,900,0,0,169200,10800,0,0,0,0,0.874023438,0.010742188,0,100,0,1,0,0
"24","greenhead.shiner",9752720,3050101,2,622.688,14.744,15.4872,21.3345,12.458,0.96174,9.33218,14.46441,1264.34,779.50941,0,16.929,19.672,21.395,17.041,12.4,8.673,6.57,5.886,8.162,8.628,20.128,15.229,465.915,6,0,14.975593,3.097397,0.133659,60.227801,3.701767,4.166667,13.551836,0.104603,0,0,17.903396,3.467623,0.274204,54.191099,3.155453,4.340857,16.490192,0.075934,0,3.960500082,6.669464763,4.991922362,42.93178893,0.329532164,0,17100,900,0,336600,13500,11700,15300,0,0,0.80807601,0.001425178,0,0,100,3,0,0
"25","greenhead.shiner",9752722,3050101,3,567.786,31.591,6.6852,42.3594,21.617,1.00653,3.20783,14.65606,1211.68,790.49383,0,30.507,34.758,38.714,30.616,21.071,15.502,11.683,10.627,13.828,12.853,25.071,25.435,404.702,5,0.175013,1.952073,1.817447,0,45.005385,0.794292,1.130856,49.124933,0,0,0.040369,2.742957,2.723835,0.123231,40.315726,2.160796,2.547486,49.162878,0.129605,0,3.737953478,4.399606052,5.002699784,82.71706587,0.245879571,0,900,1800,0,121500,0,1800,27900,0,0,0.724438903,0,0,0,100,1,0,0
"26","greenhead.shiner",9752854,3050101,3,630.871,60.087,0.8649,61.6383,35.201,0.80843,0.47705,14.75574,1255.32,793.25831,0,49.963,57.306,61.046,47.585,33.794,24.661,17.962,16.87,19.912,22.446,45.443,41.327,450.053,6,0,10.301769,3.225806,2.185224,63.163371,8.740895,6.03538,5.202914,1.144641,0,0.071546,26.250237,8.219078,5.177626,40.815045,3.139282,3.803642,12.157052,0.262824,0.021902,5.068438868,4.475952065,5.007592191,153,0.321032604,0,2700,900,0,46800,7200,0,0,0,0,0.782608696,0,0,0,100,1,0,0
"27","greenhead.shiner",9752876,3050101,1,673.153,4.113,5.7951,5.7951,3.269,0.95548,3.26912,13.98865,1278.42,752.1866,0,5.559,5.85,6.784,4.995,4.17,2.08,1.253,0.81,0.623,3.125,8.383,4.805,503.766,6.12191,0,2.081068,0,0,95.775742,1.70834,0.43485,0,0,0,0,2.081068,0,0,95.775742,1.70834,0.43485,0,0,0,8.190256203,2.022272843,4.243205467,153,0.29401149,0,4500,0,0,143100,0,1800,0,0,0,0.945068664,0,0,100,0,1,0,0
"28","greenhead.shiner",9752880,3050101,2,666.745,16.732,9.972,19.3806,13.71,1.11258,7.29094,13.67901,1300.47,737.67058,0,16.815,18.981,21.89,17.833,15.075,10.067,7.4,6.446,9.54,19.76,27.305,16.405,534.343,8.02013,0.009025,7.463899,0.045126,0,66.606498,9.232852,2.82491,13.528881,0,0,0.004644,4.592737,0.023219,0,80.124453,6.603511,1.504598,6.998235,0,0,8.33305108,3.503629231,3.571364088,65.6,0.244811774,900,4500,0,0,360000,9000,900,900,0,0,0.798736023,0.055420515,0,100,0,3,0,0
"29","greenhead.shiner",9752888,3050101,3,620.1,21.801,1.467,18.8703,11.842,0.90615,0.90324,14.54725,1265.22,783.6269,0,16.107,18.597,19.849,15.827,11.658,8.041,6.001,5.382,7.47,10.594,20.691,14.68,469.336,6,0.490798,38.220859,8.834356,2.515337,32.269938,2.392638,5.582822,9.693252,0,0,0.062002,29.513044,9.476797,3.701054,44.508036,1.90776,4.44985,6.381457,0,0,3.938068506,10.01497126,2.793519695,153,0.268715658,0,900,1800,0,48600,5400,1800,0,0,0,0.697368421,0,0,0,100,1,0,0
"30","greenhead.shiner",9752946,3050101,3,633.895,27.761,0.459,23.6574,14.189,0.91057,0.46202,14.77111,1258.9,794.16946,0,19.844,22.992,24.471,19.018,13.666,9.624,7.112,6.424,8.761,10.148,22.238,17.356,454.21,6,0,35.686275,9.607843,2.745098,36.862745,5.490196,3.921569,5.686275,0,0,0.049456,22.525299,7.585787,3.956479,45.883741,2.13802,4.740166,12.653123,0.388039,0.019022,4.198835962,8.4326409,5.019646365,153,0.302583822,0,8100,2700,0,16200,900,3600,0,0,0,0.451807229,0,0,0,100,1,0,0
"31","greenhead.shiner",9753060,3050101,2,633.895,19.356,6.9354,24.6366,14.752,0.91378,3.7725,14.72449,1256.16,791.59082,0,20.564,23.921,25.46,19.678,14.153,9.991,7.399,6.685,8.958,11.708,23.043,17.967,454.196,6,0,45.925253,24.37062,19.906567,6.605242,0.804568,0.791591,1.596159,0,0,0.113246,31.047709,10.184847,7.353694,32.107109,3.108789,2.35625,13.436107,0.149777,0.036531,3.670934506,14.49981433,5.070521646,153,0.311715901,0,85500,14400,34200,27000,7200,900,7200,0,0,0.109489051,0,0,0,100,2,0,0
"32","greenhead.shiner",9753084,3050101,3,560.746,87.449,0.1791,111.0447,53.479,1.0525,0.07327,14.91229,1202.15,803.16,0,78.455,89.041,97.39,74.666,50.712,38.593,29.073,27.35,31.34,27.892,48.707,60.227,390.874,5,1.005025,8.542714,0,0,71.356784,8.542714,4.522613,6.030151,0,0,0.042956,17.005584,12.94911,3.321365,29.112601,2.437127,4.344197,30.56742,0.190464,0.01702,2.562987433,3.705441748,4.743718593,83.5952381,0.287487438,0,1800,900,0,20700,0,900,0,0,0,0.783333333,0,0,0,100,0,0,0
"33","greenhead.shiner",9753244,3050101,3,644.085,48.202,5.3577,68.3478,43.363,1.10566,2.96682,14.5869,1288.38,783.77116,0,57.831,65.414,70.862,57.43,44.563,32.429,23.146,21.967,25.248,41.273,62.561,50.1,487.932,6,0.218377,25.197379,1.377457,0.436755,47.992609,9.239039,4.636318,10.818075,0,0,0.076374,13.877696,0.589924,0.230439,58.718497,6.576071,4.466567,14.958784,0.222538,0.047405,4.464551879,7.451664387,4.982697799,143.5511811,0.323171505,0,17100,1800,0,68400,14400,3600,14400,0,0,0.561128527,0.012539185,0,0,100,1,0,0
"34","greenhead.shiner",9753278,3050101,3,665.509,103.435,1.773,118.2231,79.519,1.09316,0.96769,14.56622,1330.54,782.16066,0,99.117,112.415,127.891,105.103,85.219,62.406,44.034,41.159,41.278,82.438,111.081,92.289,529.232,8,0,14.111675,10.406091,2.131979,54.568528,5.837563,3.248731,9.695431,0,0,0.160629,13.628301,2.900448,1.983115,59.545216,5.029728,3.789615,12.717058,0.082979,0.020554,5.442268179,8.631381228,5,78.3,0.272949238,0,900,1800,0,48600,1800,0,5400,0,0,0.731543624,0,0,0,100,1,0,0
"35","greenhead.shiner",9753412,3050101,4,666.793,70.122,1.53,88.4106,58.436,1.12301,0.84665,14.54681,1313.09,780.34446,0,75.371,84.436,93.983,76.509,60.869,44.101,31.542,29.986,30.664,65.044,85.283,67.756,511.355,6.779409,0,25.882353,0.176471,1.941176,42.058823,2.058824,4,22.058824,0,0,0.455036,5.69253,0.16084,0.081438,64.622229,12.807175,2.606022,13.220474,0.150661,0.049881,3.468867128,8.823071994,5,54.28205128,0.302970586,0,1800,0,0,0,0,0,18900,0,0,0,0,0,0,100,1,0,0
"36","greenhead.shiner",9753430,3050101,2,674.008,18.777,2.3301,23.7915,17.319,0.97688,1.70497,14.49303,1371.88,776.42115,0,20.84,24.262,27.773,22.582,18.633,12.851,9.316,8.206,10.245,23.494,33.029,21.545,573.9,9,0,18.848976,3.244496,4.750869,53.611433,6.682117,6.566242,6.295867,0,0,0.109703,24.342728,8.068848,7.172309,48.303385,3.97579,3.033857,4.879894,0.060526,0,6.742309125,6.015000596,5.003883495,129.6273187,0.276664073,0,14400,900,0,53100,900,1800,18900,0,0,0.416842105,0,0,0,100,1,0,1
"37","greenhead.shiner",9753764,3050101,2,599.227,22.075,0.6012,27.6093,18.275,0.98475,0.46075,14.28306,1285.31,772.88286,0,22.624,25.271,28.487,25.111,19.767,14.373,10.312,9.23,12.46,25.266,31.588,21.914,486.522,6.05838,0,2.54491,1.197605,0,52.844311,6.736527,2.245509,34.431138,0,0,0,3.060925,0.097793,0.159729,79.864394,2.249242,1.783095,12.784822,0,0,3.905204331,5.048631461,5,38,0.295359276,0,900,0,0,44100,3600,3600,4500,0,0,0.665505226,0,0,0,100,1,0,0
"38","greenhead.shiner",9753814,3050101,3,641.115,89.597,3.4146,82.8144,49.396,1.05991,1.84377,14.65741,1287.97,789.28784,0,64.688,72.35,82.811,67.698,53.974,38.479,27.733,25.917,29.849,38.151,66.975,55.375,481.755,6,0,2.13495,0,0,72.45651,11.201898,4.454402,9.75224,0,0,0.013041,3.588506,0.121718,0.041297,77.187663,9.348374,3.961268,5.606634,0.076074,0,5.718134723,3.48608851,4.866754617,141.1923077,0.280861292,0,900,0,0,59400,4500,0,27900,0,0,0.613034623,0,0,100,0,1,0,0
"39","greenhead.shiner",9753824,3050101,2,614.722,7.877,0.9216,8.0217,4.235,0.83265,0.47967,14.40719,1262.12,777.63039,0,7.558,8.02,8.639,6.617,4.891,3.323,2.549,1.076,0.862,3.978,9.642,6.228,464.797,6,0,12.988281,1.855469,0,33.886719,1.660156,4.199219,45.410156,0,0,0,26.893302,7.371256,0.302929,30.977224,2.961966,4.442949,26.983058,0,0,4.067461671,7.376651349,4.8203125,99,0.289106088,0,900,0,0,32400,0,1800,15300,0,0,0.410447761,0,0,0,100,1,0,0
"40","greenhead.shiner",9753870,3050101,2,603.012,23.454,2.592,39.3309,22.329,0.99499,1.46334,14.50127,1252.09,781.32177,0,30.622,35.458,38.809,30.259,22.029,15.887,11.914,10.723,13.608,14.385,32.264,26.605,453.205,6,0,19.861111,17.569444,0.486111,40.208334,0.729167,6.527778,14.166667,0.451389,0,0,21.743209,12.670191,2.610925,34.845884,4.079998,4.025079,19.73639,0.187639,0,3.281367234,9.407046321,5,153,0.32194444,0,6300,7200,900,70200,0,5400,4500,0,0,0.586912065,0,0,0,100,1,0,0
"41","greenhead.shiner",9753892,3050101,3,554.13,25.755,7.9659,43.9092,21.469,0.99332,3.13684,14.78924,1203.07,797.46204,0,31.941,35.946,38.885,29.037,19.709,14.655,11.323,10.237,13.91,13.223,23.551,25.434,393.385,5,0,18.009264,0.689188,0.067789,51.609987,3.502429,6.101006,20.020337,0,0,0.106584,8.932524,1.438878,0.270559,34.824137,1.82217,5.00123,47.071001,0.405837,0,3.564557917,7.651638856,4.783169325,44.96714286,0.250640196,0,25200,0,0,97200,18900,2700,3600,0,0,0.508838384,0.090909091,0,0,100,2,0,0
"42","greenhead.shiner",9753896,3050101,2,637.58,31.637,12.1428,40.0563,23.758,1.00764,6.72754,14.69428,1278.07,790.13634,0,32.128,36.879,40.339,32.275,24.509,17.388,12.71,12.082,14.29,14.422,35.774,28.094,471.521,6,0.037059,20.63445,1.630596,0.548473,60.309813,5.506967,2.008598,9.094278,0,0,0.058418,13.152987,0.824589,0.199969,64.20563,9.146876,2.988294,9.283933,0.011234,0.044937,4.939966976,6.292044916,4.945307275,136.3990765,0.300820143,0,60300,4500,0,216900,3600,9900,21600,0,0,0.583284629,0,7.719262785,0,92.28073722,4,0,0
"43","greenhead.shiner",9754536,3050101,4,691.971,64.619,3.348,56.799,44.108,1.21033,1.59221,13.63541,1146.87,732.70904,0,52.347,59.825,69.017,56.432,47.945,34.077,24.468,24.845,41.784,65.776,68.878,47.6,418.281,5,0,3.870968,0,0,86.451613,0.645161,0.698925,8.333333,0,0,0,3.115196,0.022183,0.011092,95.511013,0.32483,0.199651,0.808113,0,0,9.627892845,3.327471893,4.238685345,116.317757,0.246949605,0,13500,0,0,78300,0,2700,7200,0,0,0.639312977,0.026717557,100,0,0,2,0,0
"44","greenhead.shiner",9754582,3050101,4,689.992,80.586,0.4446,71.2863,51.554,1.11449,0.2084,14.18365,1176.15,760.76679,0,62.592,71.366,82.612,66.831,56.292,40.027,28.792,29.185,45.516,68.899,74.767,55.266,423.765,5,0,16.194332,13.562753,22.469635,17.611335,2.226721,2.226721,25.708502,0,0,0,3.792594,0.176752,0.155289,92.402187,1.055462,0.41663,1.956898,0.0303,0,1.500509786,6.617596563,5,115.8532934,0.244595143,0,2700,3600,0,23400,1800,0,0,0,0,0.270440252,0.188679245,100,0,0,1,0,0
"45","greenhead.shiner",9754830,3050101,2,696.316,4.394,0.8514,2.1159,1.307,0.83872,0.49526,14.00197,1311.36,751.73629,0,2.177,2.279,2.566,1.909,1.478,0.817,0.473,0.316,0.271,2.665,4.71,1.72,519.475,7.02748,0,9.61945,0,0.951374,70.401691,0.422833,0.528541,18.07611,0,0,0,3.870693,0,0.382816,87.196937,0.17014,1.105912,7.273501,0,0,6.602583945,7.610143266,5,113.6016598,0.238336867,0,13500,0,0,45900,0,900,10800,0,0,0.520710059,0.100591716,25.48736256,74.51263744,0,3,0,0
